Name,Description,Type,Unit
acc-hourOfWeekend-10-avg,Acceleration 10:00 - 10:59 weekend average,numeric,milligravity
acc-hourOfWeekend-11-avg,Acceleration 11:00 - 11:59 weekend average,numeric,milligravity
acc-hourOfWeekend-12-avg,Acceleration 12:00 - 12:59 weekend average,numeric,milligravity
acc-hourOfWeekend-13-avg,Acceleration 13:00 - 13:59 weekend average,numeric,milligravity
acc-hourOfWeekend-14-avg,Acceleration 14:00 - 14:59 weekend average,numeric,milligravity
acc-hourOfWeekend-15-avg,Acceleration 15:00 - 15:59 weekend average,numeric,milligravity
acc-hourOfWeekend-16-avg,Acceleration 16:00 - 16:59 weekend average,numeric,milligravity
acc-hourOfWeekend-17-avg,Acceleration 17:00 - 17:59 weekend average,numeric,milligravity
acc-hourOfWeekend-18-avg,Acceleration 18:00 - 18:59 weekend average,numeric,milligravity
acc-hourOfWeekend-19-avg,Acceleration 19:00 - 19:59 weekend average,numeric,milligravity
acc-hourOfWeekend-20-avg,Acceleration 20:00 - 20:59 weekend average,numeric,milligravity
acc-hourOfWeekend-21-avg,Acceleration 21:00 - 21:59 weekend average,numeric,milligravity
acc-hourOfWeekend-22-avg,Acceleration 22:00 - 22:59 weekend average,numeric,milligravity
acc-hourOfWeekend-23-avg,Acceleration 23:00 - 23:59 weekend average,numeric,milligravity
wearTime-hourOfWeekday-0-avg,Accelerometer wear time 00:00 - 00:59 weekday proportion average,numeric,proportion of time
wearTime-hourOfWeekday-1-avg,Accelerometer wear time 01:00 - 01:59 weekday proportion average,numeric,proportion of time
wearTime-hourOfWeekday-2-avg,Accelerometer wear time 02:00 - 02:59 weekday proportion average,numeric,proportion of time
wearTime-hourOfWeekday-3-avg,Accelerometer wear time 03:00 - 03:59 weekday proportion average,numeric,proportion of time
wearTime-hourOfWeekday-4-avg,Accelerometer wear time 04:00 - 04:59 weekday proportion average,numeric,proportion of time
